Configuration Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
update,ref_var_name,ref_type,ref_category,config_category,name: en,name: fr_CA,description: en,description: fr_CA,variable_name,menu_type,data_type,display_type,set_type,required,hidden,default_value,validation_type,item_level_process,auto_lock,cons_values_display,status,hide_in_trans,additional,start_date,end_date,order_number,is_array_attr,is_array_control_attr,pricing_type,pricing_display_type,is_display_pricing_at_bottom,include_in_total_price,guid,set_variable_name,menu_display_text: en,menu_display_text: fr_CA,menu_item_price: USD,menu_item_price: EUR,menu_item_price: CAD,menu_item_price: GBP,menu_item_price: AUD,menu_item_price: CNY,menu_item_price: DKK,menu_item_price: HKD,menu_item_price: INR,menu_item_price: JPY,menu_item_price: KRW,menu_item_price: PHP,menu_item_price: SGD,menu_item_price: SEK,menu_item_price: TWD,menu_item_price: BRL,menu_variable_name,menu_item_images
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Local Access Option,,,,ctllocalAccessOptionA,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,11,TRUE,FALSE,None,None,FALSE,FALSE,a2867c25-c15e-49d0-bed1-c7cec0e28385,ctllocalAccessOptionA,ELA Basic~ELA Premier Identical~ELA Over SONET~EVA,,,,,,,,,,,,,,,,,,ELA Basic~ELA Premier Identical~ELA Over SONET~EVA,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Access Speed,,,,ctlAccessSpeed,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,12,TRUE,FALSE,None,None,FALSE,FALSE,c2a55147-3e5c-480e-9fac-1ffaa87debe3,ctlAccessSpeed,1 Mbps~2 Mbps~3 Mbps~4 Mbps~5 Mbps,,,,,,,,,,,,,,,,,,1 Mbps~2 Mbps~3 Mbps~4 Mbps~5 Mbps,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Loop Term,,,,ctlLoopTermA,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,13,TRUE,FALSE,None,None,FALSE,FALSE,8178bce6-c93b-4543-a2cd-b8ee615735cf,ctlLoopTermA,12 Months~24 Months~36 Months~48 Months~60 Months,,,,,,,,,,,,,,,,,,12 Months~24 Months~36 Months~48 Months~60 Months,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Vendor,,,,ctlVendorA,FALSE,Text,Text,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,,,,14,TRUE,FALSE,None,None,FALSE,FALSE,d66f8355-cc54-4eda-8431-da1d7ed1e445,ctlVendorA,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Location,,,,ctlLocationA,FALSE,Text,Text,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,,,,15,TRUE,FALSE,None,None,FALSE,FALSE,935ecc04-27ac-42c1-b614-f0e6ef9259bc,ctlLocationA,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Location,,,,ctlLocationZ,FALSE,Text,Text,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,,,,16,TRUE,FALSE,None,None,FALSE,FALSE,93bf5aee-552e-4c1b-bbcb-0bb9dcdb420a,ctlLocationZ,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Category,,,,ctlCategoryZ,TRUE,Text,Single Select Menu,None,FALSE,FALSE,CLPA,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,17,TRUE,FALSE,None,None,FALSE,FALSE,8f7f3e85-48c9-4874-85fe-d47ff3007632,ctlCategoryZ,CLPA,,,,,,,,,,,,,,,,,,CLPA,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Local Access Option,,,,ctlLocalAccessOptionZ,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,18,TRUE,FALSE,None,None,FALSE,FALSE,1813f455-0e53-4526-9ca4-03b858b47008,ctlLocalAccessOptionZ,12 Months~24 Months~36 Months~48 Months~60 Months,,,,,,,,,,,,,,,,,,12 Months~24 Months~36 Months~48 Months~60 Months,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Vendor,,,,ctlVendorZ,FALSE,Text,Text,None,FALSE,FALSE,en:~fr_CA:,None,FALSE,FALSE,Marked,Active,FALSE,,,,19,TRUE,FALSE,None,None,FALSE,FALSE,4b2a4394-fb24-441b-9bb3-70f72abbb52f,ctlVendorZ,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Add Button,,,,ctlAddButton,FALSE,HTML,Read Only,Forced Set,FALSE,FALSE,en:<button onclick='x=document.getElementById('attribute-ctlELINELHIXCArrCtlAttr'); x.value=Number(x.value)+1;'>Add</button>~fr_CA:,None,FALSE,FALSE,Marked,Active,TRUE,auto_resize:true,,,20,FALSE,FALSE,None,None,FALSE,FALSE,1129c4a6-2648-495f-a642-b7b52f24f87a,,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Access Speed,,,,ctlAccessSpeedZ,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,21,TRUE,FALSE,None,None,FALSE,FALSE,da28e2fb-82cd-4a48-8ad5-274e937ed914,ctlAccessSpeedZ,1 Mbps~2 Mbps~3 Mbps~4 Mbps~5 Mbps,,,,,,,,,,,,,,,,,,1 Mbps~2 Mbps~3 Mbps~4 Mbps~5 Mbps,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,A Side Connection,,,,ctlASideConnection,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,22,TRUE,FALSE,None,None,FALSE,FALSE,4d60627e-834f-4afe-86d3-aa21473a1ffb,ctlASideConnection,New Loop~Existing Loop~Connects to a HUB,,,,,,,,,,,,,,,,,,New Loop~Existing Loop~Connects to a HUB,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Z Side Connection,,,,ctlZSideConnection,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,23,FALSE,FALSE,None,None,FALSE,FALSE,6189bb47-b78b-4854-b180-e121081cbc38,,New Loop~Existing Loop~Connects to a HUB,,,,,,,,,,,,,,,,,,New Loop~Existing Loop~Connects to a HUB,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Ethernet Handoff,,,,ctlEthernetHandoffA,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,24,FALSE,FALSE,None,None,FALSE,FALSE,e3f6e438-91e1-4302-8ce3-55b28bf20d99,,Fast E~Gig E,,,,,,,,,,,,,,,,,,Fast E~Gig E,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Ethernet Handoff,,,,ctlEthernetHandoffZ,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,25,TRUE,FALSE,None,None,FALSE,FALSE,fe5d6a29-cc63-40c9-b4e9-662643e043f1,ctlEthernetHandoffZ,Fast E~Gig E,,,,,,,,,,,,,,,,,,Fast E~Gig E,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Remove Row,,,,ctlRemoveRow,FALSE,Boolean,Boolean Checkbox,None,FALSE,FALSE,FALSE,None,FALSE,FALSE,Marked,Active,FALSE,,,,26,TRUE,FALSE,None,None,FALSE,FALSE,836b6d60-6c6d-4e9e-8563-6aff2ce969ba,ctlRemoveRow,,,,,,,,,,,,,,,,,,,,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Protection,,,,ctlELINEprotection,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,27,TRUE,FALSE,None,None,FALSE,FALSE,923dafb1-503d-4783-9d95-13c01c2e83cb,ctlELINEprotection,NONE~POP to POP,,,,,,,,,,,,,,,,,,NONE~POP to POP,
add,allEquipment:familyCenturyLink:lineCtlPrivateLineEthernet,Product Line,1,Configurable Attributes,Market,,,,ctlHubMarket,TRUE,Text,Single Select Menu,None,FALSE,FALSE,,None,FALSE,FALSE,Marked,Active,FALSE,image_menu_layout:false,,,28,TRUE,FALSE,None,None,FALSE,FALSE,810a6e28-5856-44d5-9887-c59d4ae77092,ctlHubMarket,Atlanta~Boston~Capital Pennsylvania~Charlotte~Chicago~Columbia SC~Columbus~Connecticut~DALLAS/FT WORTH~DAYTON~DENVER AREA~DETROIT AREA~FREDERICKSBURG~HOUSTON~INDIANAPOLIS~KANSAS CITY~LAS VEGAS~LOS ANGELES/ORANGE COUNTY~MIAMI~MINNEAPOLIS~NAPLES~NASHVILLE~NEW YORK/NEW JERSEY/WHITE PLAINS~ORLANDO~PHILADELPHIA~PHOENIX~PITTSBURGH~PORTLAND~RALEIGH~RENO~SACRAMENTO~SALT LAKE CITY~SAN DIEGO~SAN FANCISCO BAY AREA~SEATTLE~SHREVEPORT~TAMPA~TRENTON~WACO~WASHINGTON DC,,,,,,,,,,,,,,,,,,ATLANTA~BOSTON~CAPITAL PENNSYLVANIA~CHARLOTTE~CHICAGO~COLUMBIA SC~COLUMBUS~CONNECTICUT~DALLAS/FT WORTH~DAYTON~DENVER AREA~DETROIT AREA~FREDERICKSBURG~HOUSTON~INDIANAPOLIS~KANSAS CITY~LAS VEGAS~LOS ANGELES/ORANGE COUNTY~MIAMI~MINNEAPOLIS~NAPLES~NASHVILLE~NEW YORK/NEW JERSEY/WHITE PLAINS~ORLANDO~PHILADELPHIA~PHOENIX~PITTSBURGH~PORTLAND~RALEIGH~RENO~SACRAMENTO~SALT LAKE CITY~SAN DIEGO~SAN FANCISCO BAY AREA~SEATTLE~SHREVEPORT~TAMPA~TRENTON~WACO~WASHINGTON DC,
